course_name,provider,category,duration,cost,course_url,source,type,description,duration_numeric
Python Programming Fundamentals,Unknown,Programming And Software Development,16 hours,Free Trial Available,https://www.classcentral.com/course/datacamp-python-programming-fundamentals-426116,Class Central,Skill Gap,,16.0
Python for Data Science Bootcamp,Unknown,Programming And Software Development,30 hours,"$1,495.00 ",https://www.nobledesktop.com/classes/python-data-science-bootcamp-nyc?utm_source=class-central&utm_medium=referral,Class Central,Skill Gap,,30.0
Introduction to Programming,Udacity,Programming And Software Development,109 hours,Paid,https://www.classcentral.com/course/udacity-intro-to-programming-nanodegree--nd000-18207,Class Central,Skill Gap,,109.0
Object-Oriented Design,Coursera,Programming And Software Development,17 hours,Paid,https://www.classcentral.com/course/object-oriented-design-9216,Class Central,Skill Gap,,17.0
Programming for Everybody (Getting Started with Python),Coursera,Programming And Software Development,17 hours,Paid,https://www.classcentral.com/course/python-4319,Class Central,Skill Gap,,17.0
Programming Foundations: Fundamentals,LinkedIn Learning,Programming And Software Development,3 hours,rs 11,https://www.classcentral.com/course/linkedin-learning-programming-foundations-fundamentals-60929,Class Central,Skill Gap,,3.0
An Introduction to Interactive Programming in Python (Part 2),Coursera,Programming And Software Development,15 hours,Paid,https://www.classcentral.com/course/interactivepython2-3196,Class Central,Skill Gap,,15.0
An Introduction to Interactive Programming in Python (Part 1),Coursera,Programming And Software Development,19 hours,Paid,https://www.classcentral.com/course/interactivepython1-408,Class Central,Skill Gap,,19.0
Introduction to Programming with MATLAB,Coursera,Programming And Software Development,35 hours,Paid,https://www.classcentral.com/course/matlab-3396,Class Central,Skill Gap,,35.0
"Programming Languages, Part A",Coursera,Programming And Software Development,30 hours,Paid,https://www.classcentral.com/course/programming-languages-452,Class Central,Skill Gap,,30.0
Discovering Programming,Udacity,Programming And Software Development,1 hour,Paid,https://www.classcentral.com/course/udacity-discovering-programming-276809,Class Central,Skill Gap,,1.0
What is Programming?,Udacity,Programming And Software Development,5 hours,Free,https://www.classcentral.com/course/udacity-what-is-programming-11991,Class Central,Skill Gap,,5.0
Python Programming Essentials,Coursera,Programming And Software Development,8 hours,Paid,https://www.classcentral.com/course/python-programming-9549,Class Central,Skill Gap,,8.0
"Programming Foundations with JavaScript, HTML and CSS",Coursera,Programming And Software Development,1 day,Paid,https://www.classcentral.com/course/duke-programming-web-4256,Class Central,Skill Gap,,1.0
Programming Fundamentals,Coursera,Programming And Software Development,18 hours,Paid,https://www.classcentral.com/course/programming-fundamentals-9574,Class Central,Skill Gap,,18.0
Programming Abstractions in C++ - Stanford University,Programming Abstractions in C++ - Stanford University,Programming And Software Development,22 hours,Free Video,https://www.classcentral.com/classroom/youtube-cs106b-programming-abstraction-in-c-107759,Class Central,Skill Gap,,22.0
Parallel Programming in Java,Coursera,Programming And Software Development,19 hours,Paid,https://www.classcentral.com/course/parallel-programming-in-java-8909,Class Central,Skill Gap,,19.0
Programming Mobile Applications for Android Handheld Systems: Part 1,Coursera,Programming And Software Development,28 hours,Paid,https://www.classcentral.com/course/androidpart1-1178,Class Central,Skill Gap,,28.0
Getting Started with SAS Programming,Coursera,Programming And Software Development,1 day,Paid,https://www.classcentral.com/course/sas-programming-basics-12319,Class Central,Skill Gap,,1.0
"Capstone: Retrieving, Processing, and Visualizing Data with Python",Coursera,Programming And Software Development,9 hours,Paid,https://www.classcentral.com/course/python-data-visualization-8445,Class Central,Skill Gap,,9.0
Concurrent Programming in Java,Coursera,Programming And Software Development,18 hours,Paid,https://www.classcentral.com/course/concurrent-programming-in-java-8910,Class Central,Skill Gap,,18.0
Introduction to Programming for the Visual Arts with p5.js,Unknown,Programming And Software Development,66 hours,Free,https://www.classcentral.com/course/kadenze-introduction-to-programming-for-the-visual-arts-with-p5-js-3770,Class Central,Skill Gap,,66.0
R Programming,Coursera,Programming And Software Development,57 hours,Paid,https://www.classcentral.com/course/rprog-1713,Class Central,Skill Gap,,57.0
Harvard CS50’s Introduction to Programming with Python – Full University Course,Harvard CS50’s Introduction to Programming with Python – Full University Course,Programming And Software Development,16 hours,Free Video,https://www.classcentral.com/classroom/freecodecamp-harvard-cs50-s-introduction-to-programming-with-python-full-university-course-180186,Class Central,Skill Gap,,16.0
"Problem Solving, Python Programming, and Video Games",Coursera,Programming And Software Development,3 days,Paid,https://www.classcentral.com/course/problem-solving-programming-video-games-11500,Class Central,Skill Gap,,3.0
Functional Programming in Scala Capstone,Coursera,Programming And Software Development,1 day,Paid,https://www.classcentral.com/course/scala-capstone-6289,Class Central,Skill Gap,,1.0
Intro to Java Programming - Course for Absolute Beginners,Unknown,Programming And Software Development,4 hours,rs 43,https://www.classcentral.com/classroom/freecodecamp-intro-to-java-programming-course-for-absolute-beginners-57854,Class Central,Skill Gap,,4.0
Introduction to Programming and Animation with Alice,Coursera,Programming And Software Development,1 day,Paid,https://www.classcentral.com/course/introtoalice-18076,Class Central,Skill Gap,,1.0
Max MSP Programming Course: Structuring Interactive Software for Digital Arts,Unknown,Programming And Software Development,100 hours,Free,https://www.classcentral.com/course/kadenze-max-msp-programming-course-structuring-interactive-software-for-digital-arts-6411,Class Central,Skill Gap,,100.0
Object Oriented Programming in Java,Coursera,Programming And Software Development,1 day,Paid,https://www.classcentral.com/course/object-oriented-java-4212,Class Central,Skill Gap,,1.0
Functional Programming Principles in Scala,Coursera,Programming And Software Development,2 days,Paid,https://www.classcentral.com/course/progfun-422,Class Central,Skill Gap,,2.0
Julia Scientific Programming,Coursera,Programming And Software Development,19 hours,Paid,https://www.classcentral.com/course/julia-programming-7092,Class Central,Skill Gap,,19.0
