title,company,location,description,date,url,source,data_type
Digital Marketing Officer,Gestetner of Ceylon PLC,Colombo,Not Specified,2026-03-21T08:19:33.409896,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=907&ac=DEFZZZ&jc=0001481813&ec=DEFZZZ,TopJobs.lk,Live
HR Assistant (Female),Tharindu JBJ Creations (Pvt) Ltd,,Not Specified,2026-03-21T08:19:33.409896,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=906&ac=DEFZZZ&jc=0001481814&ec=DEFZZZ,TopJobs.lk,Live
Extension Officer - Dairy,Cargills Dairies (Pvt) Limited,,Not Specified,2026-03-21T08:19:33.409386,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=905&ac=DEFZZZ&jc=0001481816&ec=DEFZZZ,TopJobs.lk,Live
Multi Duty Clerks -  Kadawatha (1),Lanka Aluminium Industries PLC,,Not Specified,2026-03-21T08:19:33.407373,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=901&ac=0000000418&jc=0001481820&ec=0000000551,TopJobs.lk,Live
Graphic Designer,Canthus Management Services (Pvt) Ltd,,Not Specified,2026-03-21T08:19:33.407373,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=904&ac=DEFZZZ&jc=0001481817&ec=DEFZZZ,TopJobs.lk,Live
Trainee Technicians,Gestetner of Ceylon PLC,Colombo,Not Specified,2026-03-21T08:19:33.407373,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=903&ac=DEFZZZ&jc=0001481818&ec=DEFZZZ,TopJobs.lk,Live
Stores Manager,Rajapaksa Electricals (Pvt) Ltd,Kurunegala,Not Specified,2026-03-21T08:19:33.407373,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=902&ac=DEFZZZ&jc=0001481819&ec=DEFZZZ,TopJobs.lk,Live
Executive - Sales,Cargills Convenient Foods Limited,Galle,Not Specified,2026-03-21T08:19:33.406104,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=900&ac=DEFZZZ&jc=0001481821&ec=DEFZZZ,TopJobs.lk,Live
Energy Senior Engineer (Midigama),CEAT Tyres,,Not Specified,2026-03-21T08:19:33.397029,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=899&ac=DEFZZZ&jc=0001481823&ec=DEFZZZ,TopJobs.lk,Live
Associate - Branch Operations - Wennappuwa  (1),Softlogic Life Insurance PLC,,Not Specified,2026-03-21T08:19:33.397029,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=898&ac=0000000062&jc=0001481825&ec=0000000576,TopJobs.lk,Live
