track_id,track_name,track_description,current_role,next_role,typical_years,years_range,requirements,source
software_engineering_intern,Software Engineering - Entry,Entry-level path for software development,Software Engineering Intern,Junior Software Engineer,0.75,0.5-1,Basic programming skills | Git fundamentals | Problem-solving ability | Willingness to learn,Industry standard internship to junior transition
software_engineering_intern,Software Engineering - Entry,Entry-level path for software development,Backend Development Intern,Junior Backend Developer,0.75,0.5-1,Basic server-side programming | Database fundamentals | API concepts | Code versioning,Backend specialization internship path
software_engineering_intern,Software Engineering - Entry,Entry-level path for software development,Frontend Development Intern,Junior Frontend Developer,0.75,0.5-1,HTML/CSS/JavaScript basics | Responsive design | Version control | UI/UX awareness,Frontend specialization internship path
software_engineering_intern,Software Engineering - Entry,Entry-level path for software development,Full Stack Intern,Junior Full Stack Developer,1.0,0.5-1.5,Frontend and backend basics | Database knowledge | RESTful API understanding | Agile exposure,Full stack internship progression
data_analytics_intern,Data Analytics - Entry,Entry-level path for data analysis,Data Analytics Intern,Junior Data Analyst,0.75,0.5-1,Excel proficiency | Basic SQL | Data visualization tools | Analytical thinking,Standard data analytics internship path
data_analytics_intern,Data Analytics - Entry,Entry-level path for data analysis,Business Intelligence Intern,Junior BI Analyst,0.75,0.5-1,BI tools basics (Tableau/Power BI) | SQL fundamentals | Dashboard creation | Business acumen,BI specialization internship
data_analytics_intern,Data Analytics - Entry,Entry-level path for data analysis,Data Science Intern,Junior Data Scientist,1.0,0.5-1.5,Python/R basics | Statistics fundamentals | Machine learning concepts | Data manipulation,Data science internship with academic background
business_analysis_intern,Business Analysis - Entry,Entry-level path for business analysis,Business Analyst Intern,Junior Business Analyst,0.75,0.5-1,Requirements gathering | Process documentation | Stakeholder communication | Analytical skills,Standard BA internship progression
business_analysis_intern,Business Analysis - Entry,Entry-level path for business analysis,Product Management Intern,Associate Product Manager,1.0,1-1.5,User research basics | Product lifecycle understanding | Cross-functional collaboration | Market analysis,PM internship to APM transition
technical_specializations_intern,Technical Specializations - Entry,Entry-level paths for specialized technical roles,QA Intern,Junior QA Engineer,0.75,0.5-1,Testing fundamentals | Bug reporting | Test case creation | Attention to detail,QA internship standard path
technical_specializations_intern,Technical Specializations - Entry,Entry-level paths for specialized technical roles,DevOps Intern,Junior DevOps Engineer,1.0,0.5-1.5,Linux basics | CI/CD concepts | Cloud platform exposure | Scripting fundamentals,DevOps internship progression
