course_title,skill_label,relevance_score
Python Programming Fundamentals,Python (computer programming),0.8400918245315552
Python Programming Fundamentals,computer programming,0.6324431896209717
Python Programming Fundamentals,Ruby (computer programming),0.5927837491035461
Python for Data Science Bootcamp,Python (computer programming),0.5223689079284668
Python for Data Science Bootcamp,computer programming,0.40298160910606384
Python for Data Science Bootcamp,data science,0.38119983673095703
Introduction to Programming,computer programming,0.7352415919303894
Introduction to Programming,Java (computer programming),0.6298691034317017
Introduction to Programming,Ruby (computer programming),0.6163390278816223
Object-Oriented Design,object-oriented modelling,0.8818482756614685
Object-Oriented Design,use object-oriented programming,0.8616482019424438
Object-Oriented Design,architectural design,0.6024750471115112
Programming for Everybody (Getting Started with Python),Python (computer programming),0.7729537487030029
Programming for Everybody (Getting Started with Python),computer programming,0.624962568283081
Programming for Everybody (Getting Started with Python),Scratch (computer programming),0.5876203775405884
Programming Foundations: Fundamentals,reconstruct program theory,0.6220517158508301
Programming Foundations: Fundamentals,software frameworks,0.5946123003959656
Programming Foundations: Fundamentals,computer programming,0.5134595036506653
An Introduction to Interactive Programming in Python (Part 2),Python (computer programming),0.6973111629486084
An Introduction to Interactive Programming in Python (Part 2),Ruby (computer programming),0.5546811819076538
An Introduction to Interactive Programming in Python (Part 2),computer programming,0.5411018133163452
An Introduction to Interactive Programming in Python (Part 1),Python (computer programming),0.695270299911499
An Introduction to Interactive Programming in Python (Part 1),Ruby (computer programming),0.5533177852630615
An Introduction to Interactive Programming in Python (Part 1),computer programming,0.5403968095779419
Introduction to Programming with MATLAB,MATLAB,0.7672169804573059
Introduction to Programming with MATLAB,computer programming,0.6276655197143555
Introduction to Programming with MATLAB,Python (computer programming),0.5559645891189575
"Programming Languages, Part A",computer programming,0.6979004144668579
"Programming Languages, Part A",Java (computer programming),0.6492037773132324
"Programming Languages, Part A",smart contract programming languages,0.6390181183815002
Discovering Programming,computer programming,0.6710273027420044
Discovering Programming,reconstruct program theory,0.6489397883415222
Discovering Programming,Scratch (computer programming),0.6169594526290894
What is Programming?,computer programming,0.7700737714767456
What is Programming?,Scratch (computer programming),0.6249566078186035
What is Programming?,web programming,0.5998086333274841
Python Programming Essentials,Python (computer programming),0.7652521133422852
Python Programming Essentials,computer programming,0.5641270279884338
Python Programming Essentials,Ruby (computer programming),0.5303282737731934
"Programming Foundations with JavaScript, HTML and CSS",JavaScript Framework,0.6744449138641357
"Programming Foundations with JavaScript, HTML and CSS",web programming,0.5510447025299072
"Programming Foundations with JavaScript, HTML and CSS",software frameworks,0.5374355316162109
Programming Fundamentals,computer programming,0.7800970673561096
Programming Fundamentals,Scratch (computer programming),0.6445935964584351
Programming Fundamentals,apply basic programming skills,0.6353433132171631
Programming Abstractions in C++ - Stanford University,C++,0.6420739889144897
Programming Abstractions in C++ - Stanford University,reconstruct program theory,0.5894169807434082
Programming Abstractions in C++ - Stanford University,computer programming,0.5736801624298096
C Programming Tutorial for Beginners,computer programming,0.6172075867652893
C Programming Tutorial for Beginners,apply basic programming skills,0.5407231450080872
C Programming Tutorial for Beginners,Scratch (computer programming),0.502402126789093
Parallel Programming in Java,Java (computer programming),0.7367457151412964
Parallel Programming in Java,use concurrent programming,0.6437996625900269
Parallel Programming in Java,use threading techniques,0.5239038467407227
Programming Mobile Applications for Android Handheld Systems: Part 1,Android (mobile operating systems),0.709450364112854
Programming Mobile Applications for Android Handheld Systems: Part 1,mobile device software frameworks,0.6897221803665161
Programming Mobile Applications for Android Handheld Systems: Part 1,mobile operating systems,0.6350462436676025
Getting Started with SAS Programming,SAS language,0.7683817148208618
Getting Started with SAS Programming,SAS Data Management,0.7159111499786377
Getting Started with SAS Programming,Sass,0.6051316261291504
"Capstone: Retrieving, Processing, and Visualizing Data with Python",data visualisation software,0.5193734169006348
"Capstone: Retrieving, Processing, and Visualizing Data with Python",Python (computer programming),0.5176494717597961
"Capstone: Retrieving, Processing, and Visualizing Data with Python",deliver visual presentation of data,0.47544777393341064
Concurrent Programming in Java,use concurrent programming,0.8558310270309448
Concurrent Programming in Java,Java (computer programming),0.6800705790519714
Concurrent Programming in Java,use threading techniques,0.5834066867828369
Introduction to Programming for the Visual Arts with p5.js,JavaScript Framework,0.5080730319023132
Introduction to Programming for the Visual Arts with p5.js,help the programmer define an artistic vision,0.5072417259216309
Introduction to Programming for the Visual Arts with p5.js,develop visual elements,0.5051683187484741
R Programming,R,0.5754522681236267
R Programming,computer programming,0.5743221044540405
R Programming,Python (computer programming),0.5185195207595825
Harvard CS50s Introduction to Programming with Python Full University Course,Python (computer programming),0.6633024215698242
Harvard CS50s Introduction to Programming with Python Full University Course,computer programming,0.6264277696609497
Harvard CS50s Introduction to Programming with Python Full University Course,apply basic programming skills,0.6084201335906982
"Problem Solving, Python Programming, and Video Games",Python (computer programming),0.6179547309875488
"Problem Solving, Python Programming, and Video Games",computer programming,0.5635501146316528
"Problem Solving, Python Programming, and Video Games",problem-solving with digital tools,0.5584328174591064
Functional Programming in Scala Capstone,Scala,0.5939815640449524
Functional Programming in Scala Capstone,use functional programming,0.5818010568618774
Functional Programming in Scala Capstone,Haskell,0.40729039907455444
Intro to Java Programming - Course for Absolute Beginners,Java (computer programming),0.7411019206047058
Intro to Java Programming - Course for Absolute Beginners,apply basic programming skills,0.5955685377120972
Intro to Java Programming - Course for Absolute Beginners,computer programming,0.517279863357544
Introduction to Programming and Animation with Alice,develop animations,0.6146770119667053
Introduction to Programming and Animation with Alice,principles of animation,0.5621297359466553
Introduction to Programming and Animation with Alice,create animated narratives,0.5323973298072815
Max MSP Programming Course: Structuring Interactive Software for Digital Arts,program artistic productions,0.5959539413452148
Max MSP Programming Course: Structuring Interactive Software for Digital Arts,digital arts,0.5926368236541748
Max MSP Programming Course: Structuring Interactive Software for Digital Arts,draw up artistic programming policy,0.5924211740493774
Object Oriented Programming in Java,use object-oriented programming,0.8334699869155884
Object Oriented Programming in Java,Java (computer programming),0.7666940689086914
Object Oriented Programming in Java,object-oriented modelling,0.7191645503044128
Functional Programming Principles in Scala,Scala,0.6990017294883728
Functional Programming Principles in Scala,use functional programming,0.6927989721298218
Functional Programming Principles in Scala,Haskell,0.4311344623565674
Julia Scientific Programming,scientific computing,0.6325597763061523
Julia Scientific Programming,computational biology,0.6061330437660217
Julia Scientific Programming,computational physics,0.597156286239624
Programming Foundations: Beyond the Fundamentals,reconstruct program theory,0.6026982665061951
Programming Foundations: Beyond the Fundamentals,software frameworks,0.5435091257095337
Programming Foundations: Beyond the Fundamentals,develop program ideas,0.4981648623943329
Java Programming: Solving Problems with Software,Java (computer programming),0.8185204267501831
Java Programming: Solving Problems with Software,program management,0.6069786548614502
Java Programming: Solving Problems with Software,problem-solving with digital tools,0.5978171825408936
PCAP: Programming Essentials in Python,Python (computer programming),0.6131265759468079
PCAP: Programming Essentials in Python,computer programming,0.47509896755218506
PCAP: Programming Essentials in Python,Scratch (computer programming),0.4355217218399048
Parallel Programming Concepts,use concurrent programming,0.6409298181533813
Parallel Programming Concepts,computer programming,0.6035445928573608
Parallel Programming Concepts,distributed computing,0.5535748600959778
Programming for a Networked World,network engineering,0.6308159828186035
Programming for a Networked World,build networks,0.6276524662971497
Programming for a Networked World,design computer network,0.6128860712051392
Programming Foundations with Python,Python (computer programming),0.6347676515579224
Programming Foundations with Python,software frameworks,0.5306037664413452
Programming Foundations with Python,reconstruct program theory,0.49764329195022583
Object-Oriented Programming Concepts,use object-oriented programming,0.8830435276031494
Object-Oriented Programming Concepts,object-oriented modelling,0.8137176036834717
Object-Oriented Programming Concepts,Java (computer programming),0.5803730487823486
Programming Foundations: Secure Coding,security engineering,0.5069708824157715
Programming Foundations: Secure Coding,reconstruct program theory,0.5061596035957336
Programming Foundations: Secure Coding,data security principles,0.5048381686210632
Introduction to Programming,computer programming,0.7352415919303894
Introduction to Programming,Java (computer programming),0.6298691034317017
Introduction to Programming,Ruby (computer programming),0.6163390278816223
Programming and Application Foundations,software frameworks,0.6933873891830444
Programming and Application Foundations,decentralized application frameworks,0.6000851392745972
Programming and Application Foundations,reconstruct program theory,0.5946511030197144
Introduction to Programming,computer programming,0.7352415919303894
Introduction to Programming,Java (computer programming),0.6298691034317017
Introduction to Programming,Ruby (computer programming),0.6163390278816223
Data Science & AI Certificate,data science,0.5625593066215515
Data Science & AI Certificate,computer science,0.5265215635299683
Data Science & AI Certificate,teach computer science,0.48936355113983154
Data Scientist,data science,0.8301599025726318
Data Scientist,computer science,0.6903434991836548
Data Scientist,data engineering,0.646830677986145
Associate Data Scientist in Python,Python (computer programming),0.49952322244644165
Associate Data Scientist in Python,data science,0.47852903604507446
Associate Data Scientist in Python,computer science,0.42245352268218994
Google Advanced Data Analytics,web analytics,0.6323044896125793
Google Advanced Data Analytics,data analytics,0.6116633415222168
Google Advanced Data Analytics,business analytics,0.594234824180603
Introduction to Data Science in Python,data science,0.5989437103271484
Introduction to Data Science in Python,Python (computer programming),0.5886253118515015
Introduction to Data Science in Python,data engineering,0.5146565437316895
A Crash Course in Data Science,data science,0.6579457521438599
A Crash Course in Data Science,data engineering,0.48376381397247314
A Crash Course in Data Science,computer science,0.46432870626449585
Programming for Data Science with Python,Python (computer programming),0.7227993011474609
Programming for Data Science with Python,data science,0.5877230167388916
Programming for Data Science with Python,computer programming,0.5731596946716309
Practical Data Science with MATLAB,MATLAB,0.7355484366416931
Practical Data Science with MATLAB,data science,0.5616188049316406
Practical Data Science with MATLAB,data visualisation software,0.5120185613632202
Data Science Math Skills,data science,0.6838113069534302
Data Science Math Skills,computer science,0.5761886835098267
Data Science Math Skills,mathematics,0.5545967221260071
Data Science,data science,0.9999997615814209
Data Science,data engineering,0.7396414279937744
Data Science,computer science,0.7150697708129883
Python for Data Science,Python (computer programming),0.6825559139251709
Python for Data Science,data science,0.6037411093711853
Python for Data Science,data engineering,0.5299345254898071
Building a Data Science Team,data science,0.6834691762924194
Building a Data Science Team,data engineering,0.6121720671653748
Building a Data Science Team,make data-driven decisions,0.5607826709747314
Data Science in Real Life,data science,0.8490608930587769
Data Science in Real Life,data engineering,0.6670771837234497
Data Science in Real Life,data warehouse,0.5888488292694092
The Data Scientists Toolbox,data science,0.7233401536941528
The Data Scientists Toolbox,data engineering,0.6179792881011963
The Data Scientists Toolbox,analyse scientific data,0.5903327465057373
What is Data Science?,data science,0.8151626586914062
What is Data Science?,data engineering,0.6424911022186279
What is Data Science?,computer science,0.6175473928451538
Applied Data Science with Python,data science,0.6267703771591187
Applied Data Science with Python,Python (computer programming),0.5998281240463257
Applied Data Science with Python,data engineering,0.562933087348938
"Python for Data Science, AI & Development",Python (computer programming),0.6460781097412109
"Python for Data Science, AI & Development",data science,0.5427700877189636
"Python for Data Science, AI & Development",computer programming,0.5004866719245911
Intro to Data Science,data science,0.7870855331420898
Intro to Data Science,data engineering,0.6560897827148438
Intro to Data Science,data warehouse,0.5913283824920654
Tools for Data Science,data science,0.7404125928878784
Tools for Data Science,database development tools,0.6616507768630981
