job_id,title,company,location,posted_date,closing_date,job_code,job_url,source,scraped_at
TJ-1469176,Executive - Talent Acquisition (SL Calendar- SL Shift) (1),H Connect International (Pvt) Ltd,,Mon Feb 16 2026,Mon Feb 16 2026,1469176,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=0000000064&jc=0001469176&ec=0000000445,TopJobs.lk,2026-02-16T12:26:56.092212
TJ-1469175,Senior Associate - Business Development (Western Market) (US Calendar - US Shift) (1),H Connect International (Pvt) Ltd,,Mon Feb 16 2026,Mon Feb 16 2026,1469175,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=1&ac=0000000064&jc=0001469175&ec=0000000445,TopJobs.lk,2026-02-16T12:26:56.093380
TJ-1469174,Senior Associate - Business Development (Western Market) (US Calendar - US Shift) (1),H Connect International (Pvt) Ltd,,Mon Feb 16 2026,Mon Feb 16 2026,1469174,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=2&ac=0000000064&jc=0001469174&ec=0000000445,TopJobs.lk,2026-02-16T12:26:56.093380
TJ-1469173,Executive - Customer Service (AUS Calendar - AUS Shift) (1),H Connect International (Pvt) Ltd,,Mon Feb 16 2026,Mon Feb 16 2026,1469173,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=3&ac=0000000064&jc=0001469173&ec=0000000445,TopJobs.lk,2026-02-16T12:26:56.093380
TJ-1469172,Executive - Customer Service (AUS Calendar - AUS Shift) (1),H Connect International (Pvt) Ltd,,Mon Feb 16 2026,Mon Feb 16 2026,1469172,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=4&ac=0000000064&jc=0001469172&ec=0000000445,TopJobs.lk,2026-02-16T12:26:56.093380
TJ-1469171,Social Media Specialist,Standard Industries (Pvt) Ltd,Kalutara,Mon Feb 16 2026,Mon Feb 16 2026,1469171,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=5&ac=DEFZZZ&jc=0001469171&ec=DEFZZZ,TopJobs.lk,2026-02-16T12:26:56.093380
TJ-1469170,Executive - Customer Support (AUS Calendar - AUS Shift) (1),H Connect International (Pvt) Ltd,,Mon Feb 16 2026,Mon Feb 16 2026,1469170,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=6&ac=0000000064&jc=0001469170&ec=0000000445,TopJobs.lk,2026-02-16T12:26:56.093380
TJ-1469169,Executive - Customer Support (AUS Calendar - AUS Shift) (1),H Connect International (Pvt) Ltd,,Mon Feb 16 2026,Mon Feb 16 2026,1469169,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=7&ac=0000000064&jc=0001469169&ec=0000000445,TopJobs.lk,2026-02-16T12:26:56.093380
TJ-1469168,Executive - Customer Support (AUS Calendar - AUS Shift) (1),H Connect International (Pvt) Ltd,,Mon Feb 16 2026,Mon Feb 16 2026,1469168,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=8&ac=0000000064&jc=0001469168&ec=0000000445,TopJobs.lk,2026-02-16T12:26:56.094382
TJ-1469167,Executive - Tele Sales (AUS Calendar - AUS Shift) (1),H Connect International (Pvt) Ltd,,Mon Feb 16 2026,Mon Feb 16 2026,1469167,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=9&ac=0000000064&jc=0001469167&ec=0000000445,TopJobs.lk,2026-02-16T12:26:56.094382
TJ-1469166,Executive - Tele Sales (AUS Calendar - AUS Shift) (1),H Connect International (Pvt) Ltd,,Mon Feb 16 2026,Mon Feb 16 2026,1469166,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=10&ac=0000000064&jc=0001469166&ec=0000000445,TopJobs.lk,2026-02-16T12:26:56.094382
