course_name,institute,duration,fees,category,level,location,mode,description,course_url,source,cost_numeric,duration_numeric,is_estimated
AAT - Business School,AAT Business School (The Association of Accounting Technicians),,,Business Management - Specialized,Certificate,,,,https://www.pickacourse.lk/course/aat-business-school?id=1,pickacourse.lk,50000,120,True
The Higher Diploma in Accounting & Finance (HDAF),AAT Business School (The Association of Accounting Technicians),,,Business Management - Specialized,Advanced Diploma / Higher National Diploma,,,,https://www.pickacourse.lk/course/the-higher-diploma-in-accounting-finance-hdaf?id=2,pickacourse.lk,150000,365,True
Diploma in Accounting & Finance (DAF),AAT Business School (The Association of Accounting Technicians),,,Business Management - Specialized,Diploma,,,,https://www.pickacourse.lk/course/diploma-in-accounting-finance-daf?id=3,pickacourse.lk,150000,365,True
Certificate in Microsoft Office Applications,AAT Business School (The Association of Accounting Technicians),,,IT,Certificate,,,,https://www.pickacourse.lk/course/certificate-in-microsoft-office-applications?id=4,pickacourse.lk,50000,120,True
Certificate in Computerized Accounting for SME,AAT Business School (The Association of Accounting Technicians),,,IT,Certificate,,,,https://www.pickacourse.lk/course/certificate-in-computerized-accounting-for-sme?id=5,pickacourse.lk,50000,120,True
Certificate of Participation - Advanced MS Excel for Data Analysis,AAT Business School (The Association of Accounting Technicians),,,IT,Certificate,,,,https://www.pickacourse.lk/course/certificate-of-participation-advanced-ms-excel-for-data-analysis?id=6,pickacourse.lk,50000,120,True
SAGE Business Cloud Accounting,AAT Business School (The Association of Accounting Technicians),,,IT,Certificate,,,,https://www.pickacourse.lk/course/sage-business-cloud-accounting?id=7,pickacourse.lk,50000,120,True
Spoken English course,Academy for Administrative Professionals - AAP,,,English,Certificate,,,,https://www.pickacourse.lk/course/spoken-english-course?id=8,pickacourse.lk,50000,120,True
Secretarial & office practice Certificate level course,Academy for Administrative Professionals - AAP,,,Law & Administration,Certificate,,,,https://www.pickacourse.lk/course/secretarial-office-practice-certificate-level-course?id=9,pickacourse.lk,50000,120,True
Design Foundation Program,Academy Of Design (AOD),,,Fashion & Textile,Foundation Program,,,,https://www.pickacourse.lk/course/design-foundation-program?id=10,pickacourse.lk,50000,120,True
BA (Hons) Fashion & Textile Design,Academy Of Design (AOD),,,Fashion & Textile,Bachelor's Degree,,,,https://www.pickacourse.lk/course/ba-hons-fashion-textile-design?id=11,pickacourse.lk,2800000,1460,True
BA (Hons) in Fashion Design and Marketing,Academy Of Design (AOD),,,Fashion & Textile,Bachelor's Degree,,,,https://www.pickacourse.lk/course/ba-hons-in-fashion-design-and-marketing?id=12,pickacourse.lk,2800000,1460,True
BA (Hons) Interior Design,Academy Of Design (AOD),,,Arts & Design,Bachelor's Degree,,,,https://www.pickacourse.lk/course/ba-hons-interior-design?id=13,pickacourse.lk,2800000,1460,True
BA (Hons) Visual Communication Design,Academy Of Design (AOD),,,Arts & Design,Bachelor's Degree,,,,https://www.pickacourse.lk/course/ba-hons-visual-communication-design?id=14,pickacourse.lk,2800000,1460,True
BA (Hons) Motion Graphics and Animation Design,Academy Of Design (AOD),,,Arts & Design,Bachelor's Degree,,,,https://www.pickacourse.lk/course/ba-hons-motion-graphics-and-animation-design?id=15,pickacourse.lk,2800000,1460,True
MA Design Innovation,Academy Of Design (AOD),,,Business Management - Specialized,Masters Degree,,,,https://www.pickacourse.lk/course/ma-design-innovation?id=16,pickacourse.lk,2800000,1460,True
MA Design Management and Entrepreneurship,Academy Of Design (AOD),,,Fashion & Textile,Masters Degree,,,,https://www.pickacourse.lk/course/ma-design-management-and-entrepreneurship?id=17,pickacourse.lk,2800000,1460,True
MA Contour Fashion Innovation,Academy Of Design (AOD),,,Fashion & Textile,Masters Degree,,,,https://www.pickacourse.lk/course/ma-contour-fashion-innovation?id=18,pickacourse.lk,2800000,1460,True
Master of Business Administration (MBA),Academy of finance,,,Business Management,Masters Degree,,,,https://www.pickacourse.lk/course/master.of-business-administration-mba?id=19,pickacourse.lk,2800000,1460,True
CMA - Australia,Academy of finance,,,Business Management - Specialized,Diploma,,,,https://www.pickacourse.lk/course/cma-australia?id=20,pickacourse.lk,150000,365,True
Certificate in Photography,Academy of Photography,,,Arts & Design,Certificate,,,,https://www.pickacourse.lk/course/certificate-in-photography?id=21,pickacourse.lk,50000,120,True
Photography Fast Track,Academy of Photography,,,Arts & Design,Certificate,,,,https://www.pickacourse.lk/course/photography-fast-track?id=22,pickacourse.lk,50000,120,True
Diploma in Inbound Tourism,Academy of Tourism and Foreign Languages - ATFL),,,"Events, Hotel, Hospitality, Tourism",Diploma,,,,https://www.pickacourse.lk/course/diploma-in-inbound-tourism?id=23,pickacourse.lk,150000,365,True
Spanish Language Courses,Academy of Tourism and Foreign Languages - ATFL),,,Languages,Certificate,,,,https://www.pickacourse.lk/course/spanish-language-courses?id=24,pickacourse.lk,50000,120,True
Russian Language Courses,Academy of Tourism and Foreign Languages - ATFL),,,Languages,Certificate,,,,https://www.pickacourse.lk/course/russian-language-courses?id=25,pickacourse.lk,50000,120,True
Japanese Language Courses,Academy of Tourism and Foreign Languages - ATFL),,,Languages,Certificate,,,,https://www.pickacourse.lk/course/japanese-language-courses?id=26,pickacourse.lk,50000,120,True
Italian Language Courses,Academy of Tourism and Foreign Languages - ATFL),,,Languages,Certificate,,,,https://www.pickacourse.lk/course/italian-language-courses?id=27,pickacourse.lk,50000,120,True
German Language Courses,Academy of Tourism and Foreign Languages - ATFL),,,Languages,Certificate,,,,https://www.pickacourse.lk/course/german-language-courses?id=28,pickacourse.lk,50000,120,True
French Language Courses,Academy of Tourism and Foreign Languages - ATFL),,,Languages,Certificate,,,,https://www.pickacourse.lk/course/french-language-courses?id=29,pickacourse.lk,50000,120,True
English Language Courses,Academy of Tourism and Foreign Languages - ATFL),,,Languages,Certificate,,,,https://www.pickacourse.lk/course/english-language-courses?id=30,pickacourse.lk,50000,120,True
Standard Chinese Courses,Acecam Technology Center,,,Languages,Certificate,,,,https://www.pickacourse.lk/course/standard-chinese-courses?id=31,pickacourse.lk,50000,120,True
SOLIDWORKS Essentials,Acecam Technology Center,,,Engineering,Certificate,,,,https://www.pickacourse.lk/course/solidworks-essentials?id=32,pickacourse.lk,50000,120,True
SOLIDWORKS Advanced,Acecam Technology Center,,,Engineering,Certificate,,,,https://www.pickacourse.lk/course/solidworks-advanced?id=33,pickacourse.lk,50000,120,True
SOLIDWORKS CAD Professional,Acecam Technology Center,,,Engineering,Certificate,,,,https://www.pickacourse.lk/course/solidworks-cad-professional?id=34,pickacourse.lk,50000,120,True
Diploma in accounting & business,Achievers Lanka Business School,,,(ACCA),Diploma,,,,https://www.pickacourse.lk/course/diploma-in-accounting-business-acca?id=35,pickacourse.lk,150000,365,True
BSc(Hons) Applied Accounting,Achievers Lanka Business School,,,Business Management - Specialized,Bachelor's Degree,,,,https://www.pickacourse.lk/course/bschons-applied-accounting?id=36,pickacourse.lk,2800000,1460,True
M.Sc. - Accountancy,Achievers Lanka Business School,,,Business Management - Specialized,Masters Degree,,,,https://www.pickacourse.lk/course/msc-accountancy?id=37,pickacourse.lk,2800000,1460,True
ACCA – APPLIED KNOWLEDGE LEVEL (Diploma in Accounting and Business),Icon Business School,,,Business Management - Specialized,Diploma,,,,https://www.pickacourse.lk/course/acca.applied-knowledge-level-diploma-in-accounting-and-business?id=38,pickacourse.lk,150000,365,True
ACCA – APPLIED SKILLS LEVEL (Advanced Diploma in Accounting and Business),Icon Business School,,,Business Management - Specialized,Advanced Diploma / Higher National Diploma,,,,https://www.pickacourse.lk/course/acca.applied-skills-level-advanced-diploma-in-accounting-and-business?id=39,pickacourse.lk,150000,365,True
ACCA – STRATEGIC PROFESSIONAL LEVEL (Chartered Certified Accountant (ACCA)),Icon Business School,,,Business Management - Specialized,Advanced Diploma / Higher National Diploma,,,,https://www.pickacourse.lk/course/acca.strategic-professional-level-chartered-certified-accountant-acca?id=40,pickacourse.lk,150000,365,True
CIMA Certificate in Business Accounting (CIMA CERT BA),Achievers Lanka Business School,,,Business Management - Specialized,Certificate,,,,https://www.pickacourse.lk/course/cima.certificate-in-business-accounting-cima-cert-ba?id=41,pickacourse.lk,50000,120,True
