course_title,provider,category,duration,cost,course_url,source,type,description
AAT - Business School,AAT Business School (The Association of Accounting Technicians),Business Management - Specialized,,,https://www.pickacourse.lk/course/aat-business-school?id=1,pickacourse.lk,Academic,
The Higher Diploma in Accounting & Finance (HDAF),AAT Business School (The Association of Accounting Technicians),Business Management - Specialized,,,https://www.pickacourse.lk/course/the-higher-diploma-in-accounting-finance-hdaf?id=2,pickacourse.lk,Academic,
Diploma in Accounting & Finance (DAF),AAT Business School (The Association of Accounting Technicians),Business Management - Specialized,,,https://www.pickacourse.lk/course/diploma-in-accounting-finance-daf?id=3,pickacourse.lk,Academic,
Certificate in Microsoft Office Applications,AAT Business School (The Association of Accounting Technicians),IT,,,https://www.pickacourse.lk/course/certificate-in-microsoft-office-applications?id=4,pickacourse.lk,Academic,
Certificate in Computerized Accounting for SME,AAT Business School (The Association of Accounting Technicians),IT,,,https://www.pickacourse.lk/course/certificate-in-computerized-accounting-for-sme?id=5,pickacourse.lk,Academic,
Certificate of Participation - Advanced MS Excel for Data Analysis,AAT Business School (The Association of Accounting Technicians),IT,,,https://www.pickacourse.lk/course/certificate-of-participation-advanced-ms-excel-for-data-analysis?id=6,pickacourse.lk,Academic,
SAGE Business Cloud Accounting,AAT Business School (The Association of Accounting Technicians),IT,,,https://www.pickacourse.lk/course/sage-business-cloud-accounting?id=7,pickacourse.lk,Academic,
Spoken English course,Academy for Administrative Professionals - AAP,English,,,https://www.pickacourse.lk/course/spoken-english-course?id=8,pickacourse.lk,Academic,
Secretarial & office practice Certificate level course,Academy for Administrative Professionals - AAP,Law & Administration,,,https://www.pickacourse.lk/course/secretarial-office-practice-certificate-level-course?id=9,pickacourse.lk,Academic,
Design Foundation Program,Academy Of Design (AOD),Fashion & Textile,,,https://www.pickacourse.lk/course/design-foundation-program?id=10,pickacourse.lk,Academic,
BA (Hons) Fashion & Textile Design,Academy Of Design (AOD),Fashion & Textile,,,https://www.pickacourse.lk/course/ba-hons-fashion-textile-design?id=11,pickacourse.lk,Academic,
BA (Hons) in Fashion Design and Marketing,Academy Of Design (AOD),Fashion & Textile,,,https://www.pickacourse.lk/course/ba-hons-in-fashion-design-and-marketing?id=12,pickacourse.lk,Academic,
BA (Hons) Interior Design,Academy Of Design (AOD),Arts & Design,,,https://www.pickacourse.lk/course/ba-hons-interior-design?id=13,pickacourse.lk,Academic,
BA (Hons) Visual Communication Design,Academy Of Design (AOD),Arts & Design,,,https://www.pickacourse.lk/course/ba-hons-visual-communication-design?id=14,pickacourse.lk,Academic,
BA (Hons) Motion Graphics and Animation Design,Academy Of Design (AOD),Arts & Design,,,https://www.pickacourse.lk/course/ba-hons-motion-graphics-and-animation-design?id=15,pickacourse.lk,Academic,
MA Design Innovation,Academy Of Design (AOD),Business Management - Specialized,,,https://www.pickacourse.lk/course/ma-design-innovation?id=16,pickacourse.lk,Academic,
